elapsed_time,movement_counter,player_pos_x,player_pos_y,player_pos_z,player_distance_traveled,movement_time,speed,distance_to_ball,has_posession,is_touch
0.0,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,1
0.001,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.001,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.024,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.025,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.025,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.069,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.07,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.071,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.114,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.115,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.115,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.16,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.16,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.16,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.205,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.205,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.205,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.25,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.25,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.25,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.295,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.296,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.296,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.34,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.34,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.341,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.385,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
0.386,0,804.0,1707.0,-1630.0,0.0,0.0,0.0,3.471311,1,0
