elapsed_time,ax,ay,az,gx,gy,gz,mx,my,mz
0.0,-0.691162109375,-0.1348876953125,-0.4674072265625,-27.28271484375,-18.37158203125,-15.44189453125,-3.84521484375,10.9375,0.8544921875
0.001,-0.691162109375,-0.1348876953125,-0.4674072265625,-28.13720703125,-31.55517578125,-25.93994140625,-3.40576171875,10.5224609375,1.9287109375
0.02,-0.691162109375,-0.1348876953125,-0.4674072265625,-28.13720703125,-31.55517578125,-25.93994140625,-3.40576171875,10.5224609375,1.9287109375
0.046,-0.63623046875,-0.17919921875,-0.4691162109375,-22.3388671875,-36.19384765625,-14.0380859375,-3.40576171875,10.5224609375,1.9287109375
0.048,-0.8135986328125,-0.239013671875,-0.56396484375,-22.3388671875,-36.19384765625,-14.0380859375,-3.40576171875,10.5224609375,1.9287109375
0.054,-0.8135986328125,-0.239013671875,-0.56396484375,-22.3388671875,-36.19384765625,-14.0380859375,-3.40576171875,10.5224609375,1.9287109375
0.091,-0.8135986328125,-0.239013671875,-0.56396484375,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625
0.092,-0.996826171875,-0.068115234375,-0.404052734375,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625
0.129,-0.996826171875,-0.068115234375,-0.404052734375,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625
0.132,-0.996826171875,-0.068115234375,-0.404052734375,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625
0.181,-1.2454833984375,-0.2296142578125,-0.410400390625,0.9765625,-0.48828125,-3.5400390625,-3.955078125,10.04638671875,2.8076171875
0.207,-1.2454833984375,-0.2296142578125,-0.410400390625,0.9765625,-0.48828125,-3.5400390625,-3.955078125,10.04638671875,2.8076171875
0.226,-1.2454833984375,-0.2296142578125,-0.410400390625,12.87841796875,42.78564453125,-6.591796875,-4.35791015625,10.70556640625,2.05078125
0.228,-1.26904296875,-0.135498046875,-0.1201171875,43.88427734375,59.38720703125,-1.8310546875,-4.35791015625,10.70556640625,2.05078125
0.242,-1.26904296875,-0.135498046875,-0.1201171875,43.88427734375,59.38720703125,-1.8310546875,-4.35791015625,10.70556640625,2.05078125
0.271,-1.086181640625,-0.1990966796875,-0.1005859375,43.88427734375,59.38720703125,-1.8310546875,-3.99169921875,10.75439453125,2.1240234375
0.272,-1.086181640625,-0.1990966796875,-0.1005859375,41.3818359375,50.47607421875,-20.44677734375,-3.99169921875,10.75439453125,2.1240234375
0.315,-1.086181640625,-0.1990966796875,-0.1005859375,41.3818359375,50.47607421875,-20.44677734375,-3.7109375,10.6689453125,1.81884765625
0.316,-0.974609375,-0.2811279296875,-0.03125,41.3818359375,50.47607421875,-20.44677734375,-3.7109375,10.6689453125,1.81884765625
0.318,-0.974609375,-0.2811279296875,-0.03125,38.818359375,28.25927734375,-12.8173828125,-3.7109375,10.6689453125,1.81884765625
0.321,-0.974609375,-0.2811279296875,-0.03125,38.818359375,28.25927734375,-12.8173828125,-3.7109375,10.6689453125,1.81884765625
0.354,-0.974609375,-0.2811279296875,-0.03125,38.818359375,28.25927734375,-12.8173828125,-3.7109375,10.6689453125,1.81884765625
0.361,-0.974609375,-0.2811279296875,-0.03125,38.818359375,28.25927734375,-12.8173828125,-3.0517578125,11.474609375,0.6591796875
0.406,-1.0078125,0.0330810546875,0.18115234375,34.0576171875,31.3720703125,-14.46533203125,-2.13623046875,11.21826171875,0.62255859375
0.429,-1.0078125,0.0330810546875,0.18115234375,34.0576171875,31.3720703125,-14.46533203125,-2.13623046875,11.21826171875,0.62255859375
0.433,-1.0078125,0.0330810546875,0.18115234375,34.0576171875,31.3720703125,-14.46533203125,-2.13623046875,11.21826171875,0.62255859375
0.451,-0.8463134765625,-0.3115234375,0.0762939453125,34.0576171875,31.3720703125,-14.46533203125,-2.13623046875,11.21826171875,0.62255859375
0.452,-0.8463134765625,-0.3115234375,0.0762939453125,8.72802734375,72.44873046875,38.6962890625,-0.1220703125,12.70751953125,-0.048828125
0.496,-1.08935546875,-0.3734130859375,0.3370361328125,-24.35302734375,38.4521484375,-11.41357421875,-0.1220703125,12.70751953125,-0.048828125
0.499,-1.08935546875,-0.3734130859375,0.3370361328125,-24.35302734375,38.4521484375,-11.41357421875,0.537109375,11.97509765625,0.0
0.508,-1.08935546875,-0.3734130859375,0.3370361328125,-24.35302734375,38.4521484375,-11.41357421875,0.537109375,11.97509765625,0.0
0.541,-1.157958984375,0.3009033203125,-0.18017578125,17.63916015625,53.466796875,8.72802734375,1.64794921875,12.12158203125,-0.15869140625
0.585,-0.8714599609375,-0.1868896484375,0.0003662109375,17.63916015625,53.466796875,8.72802734375,1.64794921875,12.12158203125,-0.15869140625
0.586,-0.8714599609375,-0.1868896484375,0.0003662109375,20.6298828125,10.498046875,7.2021484375,2.7099609375,12.40234375,-0.32958984375
0.62,-0.8714599609375,-0.1868896484375,0.0003662109375,20.6298828125,10.498046875,7.2021484375,2.7099609375,12.40234375,-0.32958984375
0.632,-1.16796875,-0.0330810546875,-0.0753173828125,25.7568359375,16.41845703125,-2.3193359375,2.7099609375,12.40234375,-0.32958984375
0.633,-1.16796875,-0.0330810546875,-0.0753173828125,25.7568359375,16.41845703125,-2.3193359375,3.45458984375,12.890625,-0.57373046875
0.654,-1.16796875,-0.0330810546875,-0.0753173828125,25.7568359375,16.41845703125,-2.3193359375,3.45458984375,12.890625,-0.57373046875
