elapsed_time,player_pos_x,player_pos_y,player_pos_z
0.0,2096.0,304.0,-1720.0
0.001,2096.0,304.0,-1720.0
0.02,2085.0,320.0,-1734.0
0.046,2085.0,320.0,-1734.0
0.048,2085.0,320.0,-1734.0
0.054,2085.0,320.0,-1734.0
0.091,2085.0,320.0,-1734.0
0.092,2085.0,320.0,-1734.0
0.129,2085.0,320.0,-1734.0
0.132,2095.0,320.0,-1729.0
0.181,2095.0,320.0,-1729.0
0.207,2126.0,424.0,-786.0
0.226,2126.0,424.0,-786.0
0.228,2126.0,424.0,-786.0
0.242,2126.0,424.0,-786.0
0.271,2126.0,424.0,-786.0
0.272,2126.0,424.0,-786.0
0.315,2126.0,424.0,-786.0
0.316,2126.0,424.0,-786.0
0.318,2126.0,424.0,-786.0
0.321,2123.0,428.0,-1031.0
0.354,2123.0,428.0,-1031.0
0.361,2123.0,428.0,-1031.0
0.406,2123.0,428.0,-1031.0
0.429,2123.0,428.0,-1031.0
0.433,2240.0,676.0,-1335.0
0.451,2240.0,676.0,-1335.0
0.452,2240.0,676.0,-1335.0
0.496,2240.0,676.0,-1335.0
0.499,2240.0,676.0,-1335.0
0.508,2240.0,621.0,-1417.0
0.541,2240.0,621.0,-1417.0
0.585,2240.0,621.0,-1417.0
0.586,2240.0,621.0,-1417.0
0.62,2232.0,576.0,-1454.0
0.632,2232.0,576.0,-1454.0
0.633,2232.0,576.0,-1454.0
0.654,2232.0,576.0,-1454.0
0.676,2232.0,576.0,-1454.0
0.72,2232.0,576.0,-1454.0
0.721,2232.0,576.0,-1454.0
0.733,2225.0,563.0,-1452.0
0.766,2225.0,563.0,-1452.0
0.767,2225.0,563.0,-1452.0
0.768,2225.0,563.0,-1452.0
0.808,2200.0,565.0,-1463.0
0.811,2200.0,565.0,-1463.0
0.842,2200.0,565.0,-1463.0
0.855,2200.0,565.0,-1463.0
0.856,2200.0,565.0,-1463.0
0.917,2200.0,565.0,-1463.0
0.918,2200.0,565.0,-1463.0
0.92,2140.0,579.0,-1474.0
0.946,2140.0,579.0,-1474.0
0.991,2140.0,579.0,-1474.0
0.992,2140.0,579.0,-1474.0
1.029,2140.0,579.0,-1474.0
1.033,2093.0,625.0,-1471.0
1.037,2093.0,625.0,-1471.0
1.038,2093.0,625.0,-1471.0
1.081,2093.0,625.0,-1471.0
1.108,2032.0,646.0,-1508.0
1.126,2032.0,646.0,-1508.0
1.127,2032.0,646.0,-1508.0
1.142,2032.0,646.0,-1508.0
1.17,2032.0,646.0,-1508.0
1.171,2032.0,646.0,-1508.0
1.172,2032.0,646.0,-1508.0
1.216,2032.0,646.0,-1508.0
1.217,2032.0,646.0,-1508.0
1.221,2036.0,678.0,-1428.0
1.254,2036.0,678.0,-1428.0
1.261,2036.0,678.0,-1428.0
1.262,2036.0,678.0,-1428.0
1.306,2036.0,678.0,-1428.0
1.307,2036.0,678.0,-1428.0
1.308,2036.0,678.0,-1428.0
1.329,2036.0,678.0,-1428.0
1.332,1998.0,742.0,-1446.0
1.351,1998.0,742.0,-1446.0
1.352,1998.0,742.0,-1446.0
1.396,1998.0,742.0,-1446.0
1.407,1969.0,759.0,-1426.0
1.441,1969.0,759.0,-1426.0
1.485,1969.0,759.0,-1426.0
1.486,1969.0,759.0,-1426.0
1.52,1915.0,795.0,-1466.0
1.531,1915.0,795.0,-1466.0
1.532,1915.0,795.0,-1466.0
