elapsed_time,ax,ay,az,gx,gy,gz,mx,my,mz
0.0,0.4420166015625,0.8724365234375,-0.060546875,-1.5869140625,-1.3427734375,0.1220703125,-48.095703125,17.96875,-42.2119140625
0.042,0.4420166015625,0.8724365234375,-0.060546875,-1.5869140625,-1.3427734375,0.1220703125,-47.3876953125,18.2373046875,-42.51708984375
0.043,0.4412841796875,0.87451171875,-0.059326171875,-1.40380859375,-1.220703125,-0.1220703125,-47.3876953125,18.2373046875,-42.51708984375
0.087,0.44091796875,0.8726806640625,-0.0589599609375,-1.40380859375,-1.220703125,-0.1220703125,-48.4619140625,18.0908203125,-41.9921875
0.088,0.44091796875,0.8726806640625,-0.0589599609375,-1.708984375,-1.03759765625,-0.3662109375,-48.4619140625,18.0908203125,-41.9921875
0.116,0.44091796875,0.8726806640625,-0.0589599609375,-1.708984375,-1.03759765625,-0.3662109375,-48.4619140625,18.0908203125,-41.9921875
0.12,0.44091796875,0.8726806640625,-0.0589599609375,-1.708984375,-1.03759765625,-0.3662109375,-48.4619140625,18.0908203125,-41.9921875
0.131,0.44091796875,0.8726806640625,-0.0589599609375,-1.708984375,-1.03759765625,-0.3662109375,-47.57080078125,17.56591796875,-42.0654296875
0.132,0.4410400390625,0.8724365234375,-0.0601806640625,-1.64794921875,-0.9765625,-0.54931640625,-47.57080078125,17.56591796875,-42.0654296875
0.176,0.4410400390625,0.8724365234375,-0.0601806640625,-1.64794921875,-0.9765625,-0.54931640625,-48.42529296875,18.78662109375,-42.34619140625
0.177,0.441162109375,0.872802734375,-0.0609130859375,-1.953125,-1.15966796875,-0.8544921875,-48.42529296875,18.78662109375,-42.34619140625
0.189,0.441162109375,0.872802734375,-0.0609130859375,-1.953125,-1.15966796875,-0.8544921875,-48.42529296875,18.78662109375,-42.34619140625
0.222,0.4423828125,0.8729248046875,-0.06103515625,-1.953125,-1.0986328125,-1.0986328125,-48.4375,17.56591796875,-41.259765625
0.229,0.4423828125,0.8729248046875,-0.06103515625,-1.953125,-1.0986328125,-1.0986328125,-48.4375,17.56591796875,-41.259765625
0.266,0.4427490234375,0.87158203125,-0.0595703125,-1.708984375,-1.220703125,-1.15966796875,-48.4375,17.56591796875,-41.259765625
0.267,0.4427490234375,0.87158203125,-0.0595703125,-1.708984375,-1.220703125,-1.15966796875,-48.681640625,18.5302734375,-40.61279296875
0.27,0.4427490234375,0.87158203125,-0.0595703125,-1.708984375,-1.220703125,-1.15966796875,-48.681640625,18.5302734375,-40.61279296875
0.311,0.442626953125,0.8719482421875,-0.06201171875,-1.708984375,-1.220703125,-1.15966796875,-48.681640625,18.5302734375,-40.61279296875
0.312,0.442626953125,0.8719482421875,-0.06201171875,-1.5869140625,-1.220703125,-1.0986328125,-47.61962890625,18.06640625,-41.6259765625
0.336,0.442626953125,0.8719482421875,-0.06201171875,-1.5869140625,-1.220703125,-1.0986328125,-47.61962890625,18.06640625,-41.6259765625
0.356,0.4432373046875,0.8714599609375,-0.0616455078125,-1.40380859375,-1.220703125,-1.03759765625,-47.61962890625,18.06640625,-41.6259765625
0.357,0.4432373046875,0.8714599609375,-0.0616455078125,-1.40380859375,-1.220703125,-1.03759765625,-48.33984375,16.95556640625,-43.4326171875
0.376,0.4432373046875,0.8714599609375,-0.0616455078125,-1.40380859375,-1.220703125,-1.03759765625,-48.33984375,16.95556640625,-43.4326171875
0.401,0.444580078125,0.8714599609375,-0.0606689453125,-1.40380859375,-1.3427734375,-1.03759765625,-48.33984375,16.95556640625,-43.4326171875
0.402,0.444580078125,0.8714599609375,-0.0606689453125,-1.40380859375,-1.3427734375,-1.03759765625,-47.57080078125,17.90771484375,-42.7490234375
0.491,0.4454345703125,0.8707275390625,-0.0614013671875,-1.0986328125,-1.40380859375,-0.732421875,-47.57080078125,17.90771484375,-42.7490234375
0.492,0.4454345703125,0.8707275390625,-0.0614013671875,-1.0986328125,-1.40380859375,-0.732421875,-47.69287109375,17.88330078125,-42.7490234375
0.493,0.4453125,0.8709716796875,-0.0604248046875,-1.0986328125,-1.40380859375,-0.732421875,-47.69287109375,17.88330078125,-42.7490234375
0.494,0.4453125,0.8709716796875,-0.0604248046875,-1.0986328125,-1.40380859375,-0.732421875,-47.69287109375,17.88330078125,-42.7490234375
0.536,0.4453125,0.8709716796875,-0.0604248046875,-0.8544921875,-1.52587890625,-0.30517578125,-47.69287109375,17.88330078125,-42.7490234375
0.537,0.4449462890625,0.870849609375,-0.05908203125,-0.8544921875,-1.52587890625,-0.30517578125,-47.705078125,17.7734375,-41.9189453125
0.562,0.4449462890625,0.870849609375,-0.05908203125,-0.8544921875,-1.52587890625,-0.30517578125,-47.705078125,17.7734375,-41.9189453125
0.569,0.4449462890625,0.870849609375,-0.05908203125,-0.8544921875,-1.52587890625,-0.30517578125,-47.705078125,17.7734375,-41.9189453125
0.581,0.4449462890625,0.870849609375,-0.05908203125,-0.8544921875,-1.46484375,-0.30517578125,-48.4619140625,17.95654296875,-41.05224609375
0.626,0.446044921875,0.871337890625,-0.0556640625,-1.03759765625,-1.5869140625,-0.244140625,-48.4619140625,17.95654296875,-41.05224609375
0.627,0.446044921875,0.871337890625,-0.0556640625,-1.03759765625,-1.5869140625,-0.244140625,-48.4619140625,18.603515625,-41.41845703125
0.671,0.446533203125,0.871826171875,-0.0545654296875,-1.953125,-1.0986328125,0.30517578125,-48.4619140625,18.603515625,-41.41845703125
0.672,0.446533203125,0.871826171875,-0.0545654296875,-1.953125,-1.0986328125,0.30517578125,-48.47412109375,18.359375,-42.919921875
0.678,0.446533203125,0.871826171875,-0.0545654296875,-1.953125,-1.0986328125,0.30517578125,-48.47412109375,18.359375,-42.919921875
0.716,0.4451904296875,0.8721923828125,-0.0528564453125,-2.62451171875,-0.67138671875,0.30517578125,-48.47412109375,18.359375,-42.919921875
0.717,0.4451904296875,0.8721923828125,-0.0528564453125,-2.62451171875,-0.67138671875,0.30517578125,-48.20556640625,18.15185546875,-42.32177734375
0.761,0.442626953125,0.873291015625,-0.0533447265625,-3.72314453125,-0.18310546875,-0.244140625,-48.20556640625,18.15185546875,-42.32177734375
0.762,0.442626953125,0.873291015625,-0.0533447265625,-3.72314453125,-0.18310546875,-0.244140625,-48.0712890625,17.98095703125,-40.83251953125
0.792,0.442626953125,0.873291015625,-0.0533447265625,-3.72314453125,-0.18310546875,-0.244140625,-48.0712890625,17.98095703125,-40.83251953125
0.807,0.4390869140625,0.873291015625,-0.0565185546875,-3.72314453125,-0.18310546875,-0.244140625,-48.0712890625,17.98095703125,-40.83251953125
0.808,0.4390869140625,0.873291015625,-0.0565185546875,-4.150390625,0.0,-1.28173828125,-47.47314453125,17.822265625,-41.44287109375
0.851,0.439453125,0.873291015625,-0.0615234375,-4.150390625,0.0,-1.28173828125,-47.47314453125,17.822265625,-41.44287109375
0.852,0.439453125,0.873291015625,-0.0615234375,-4.08935546875,-0.18310546875,-2.197265625,-48.01025390625,17.6513671875,-42.431640625
0.87,0.439453125,0.873291015625,-0.0615234375,-4.08935546875,-0.18310546875,-2.197265625,-48.01025390625,17.6513671875,-42.431640625
0.897,0.440185546875,0.873046875,-0.068115234375,-4.08935546875,-0.18310546875,-2.197265625,-48.01025390625,17.6513671875,-42.431640625
0.898,0.440185546875,0.873046875,-0.068115234375,-3.35693359375,-0.67138671875,-3.0517578125,-47.71728515625,18.6767578125,-42.236328125
0.941,0.440185546875,0.873046875,-0.068115234375,-3.35693359375,-0.67138671875,-3.0517578125,-47.71728515625,18.6767578125,-42.236328125
0.942,0.4403076171875,0.8709716796875,-0.0743408203125,-1.52587890625,-1.52587890625,-4.0283203125,-47.71728515625,18.6767578125,-42.236328125
0.943,0.4403076171875,0.8709716796875,-0.0743408203125,-1.52587890625,-1.52587890625,-4.0283203125,-46.47216796875,17.4072265625,-42.71240234375
0.982,0.4403076171875,0.8709716796875,-0.0743408203125,-1.52587890625,-1.52587890625,-4.0283203125,-46.47216796875,17.4072265625,-42.71240234375
