network_time,device_id,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp,elapsed_time
170683745173504.0,01:05:09CE,0.943980544,-0.116195328,-0.327090176,-0.11206656,-0.02555904,-0.18415616,24.90368,-11.79648,6.029312,0.568610745,0.305281785,0.802734551,-0.303353909,10.217,3.819,4.512,0.0,0.000318767104
170683991399128.0,01:05:09CE,-0.065339392,0.027000832,-1.108672512,0.01245184,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015200698,0.706220377,0.808089923,0.03055971,10.214,3.819,4.515,0.0,0.000246225624
170684063940608.0,01:05:09CE,0.945815552,-0.129826816,-0.32374784,-0.15597568,-0.01835008,-0.16842752,24.90368,-11.79648,6.029312,0.568854726,0.305535802,0.802852204,-0.302327664,2.342,2.879,6.163,0.0,7.254148e-05
170684382707712.0,01:05:09CE,0.953090048,-0.14057472,-0.315686912,-0.19464192,-0.00458752,-0.15466496,24.90368,-11.79648,6.029312,0.569169801,0.305620503,0.803002687,-0.301247462,2.342,2.879,6.163,0.0,0.000318767104
170684630378747.0,01:05:09CE,-0.065798144,0.027000832,-1.108934656,0.01245184,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015203405,0.706221777,0.808088765,0.030556642,10.212,3.818,4.516,0.0,0.000247671035
170684701474816.0,01:05:09CE,0.964427776,-0.148307968,-0.302645248,-0.21561344,0.01048576,-0.14483456,24.90368,-11.79648,6.029312,0.569553541,0.30558947,0.803148536,-0.300162906,2.343,2.88,6.166,0.0,7.1096069e-05
170685020241920.0,01:05:09CE,0.978845696,-0.15335424,-0.28377088,-0.21889024,0.02818048,-0.14024704,24.90368,-11.79648,6.029312,0.570009105,0.305499032,0.803248043,-0.299122123,2.343,2.88,6.166,0.0,0.000318767104
170685269345891.0,01:05:09CE,-0.065404928,0.026738688,-1.10886912,0.01245184,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015207615,0.706223176,0.808087553,0.03055426,10.213,3.813,4.517,0.0,0.000249103971
170685339009024.0,01:05:09CE,0.992083968,-0.156696576,-0.267517952,-0.21168128,0.04194304,-0.13828096,24.90368,-11.79648,6.029312,0.570524356,0.30538761,0.803286555,-0.298148588,11.245,5.697,6.209,0.0,6.9663133e-05
170685657776128.0,01:05:09CE,1.004863488,-0.15630336,-0.263716864,-0.20512768,0.05505024,-0.13697024,24.90368,-11.79648,6.029312,0.571095788,0.305259558,0.803268301,-0.297233479,11.245,5.697,6.209,0.0,0.000318767104
170685908329096.0,01:05:09CE,-0.065011712,0.027000832,-1.108279296,0.01179648,0.00589824,0.01245184,24.90368,-11.79648,6.029312,-0.015206672,0.706226841,0.808084363,0.030554382,10.216,3.809,4.517,0.0,0.000250552968
170685976543232.0,01:05:09CE,1.018167296,-0.150339584,-0.254214144,-0.19922944,0.07471104,-0.1376256,24.90368,-11.79648,6.029312,0.571733954,0.305120753,0.803188119,-0.296364572,10.216,3.809,4.517,0.0,6.8214136e-05
170686295310336.0,01:05:09CE,1.023934464,-0.146341888,-0.250281984,-0.19398656,0.08912896,-0.13500416,24.90368,-11.79648,6.029312,0.572429519,0.304969139,0.803055215,-0.295536957,10.216,3.809,4.517,0.0,0.000318767104
170686547294653.0,01:05:09CE,-0.064618496,0.027066368,-1.10821376,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015203976,0.706228327,0.808083101,0.030554798,10.217,3.808,4.518,0.0,0.000251984317
170686614077440.0,01:05:09CE,1.028128768,-0.139395072,-0.245235712,-0.1867776,0.09764864,-0.13500416,24.90368,-11.79648,6.029312,0.57315181,0.304825008,0.802886848,-0.294742138,10.217,3.808,4.518,0.0,6.6782787e-05
170686932844544.0,01:05:09CE,1.033306112,-0.131465216,-0.245039104,-0.1769472,0.09568256,-0.13697024,24.90368,-11.79648,6.029312,0.573868224,0.304716224,0.80270031,-0.293967686,10.217,3.808,4.518,0.0,0.000318767104
170687186272004.0,01:05:09CE,-0.064815104,0.02686976,-1.1075584,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015201203,0.706229818,0.808081842,0.03055497,10.216,3.806,4.519,0.0,0.00025342746
170687251611648.0,01:05:09CE,1.03645184,-0.13369344,-0.24510464,-0.16515072,0.08585216,-0.13893632,24.90368,-11.79648,6.029312,0.574545466,0.304659715,0.802515947,-0.293205766,10.216,3.806,4.519,0.0,6.5339644e-05
170687570378752.0,01:05:09CE,1.0371072,-0.142409728,-0.249757696,-0.15794176,0.0688128,-0.13828096,24.90368,-11.79648,6.029312,0.575154916,0.304634033,0.802364074,-0.292452262,10.216,3.806,4.519,0.0,0.000318767104
