,timestamp,ax,ay,az,ball_pos_x,ball_pos_y,ball_pos_z,gx,gy,gz,mx,my,mz,player_pos_x,player_pos_y,player_pos_z,accel_abs,spin_abs
5508,18:06:25.068000,-0.5496826171875,0.1883544921875,-0.0006103515625,6216.0,1369.0,1871.0,-29.72412109375,-85.44921875,183.7158203125,1.64794921875,40.31982421875,11.70654296875,3778.0,969.0,1322.0,-0.3989416837404868,1754.3574829101562
5509,18:06:25.111000,-0.213623046875,0.017578125,-0.031494140625,6216.0,1369.0,1871.0,-29.72412109375,-85.44921875,183.7158203125,1.64794921875,40.31982421875,11.70654296875,3778.0,969.0,1322.0,-0.7633535656227378,1754.3574829101562
5510,18:06:25.112000,-0.213623046875,0.017578125,-0.031494140625,6216.0,1369.0,1871.0,-30.70068359375,-87.46337890625,179.8095703125,4.6142578125,39.794921875,11.68212890625,3778.0,969.0,1322.0,-0.7633535656227378,1717.0555297851563
5511,18:06:25.140000,-0.213623046875,0.017578125,-0.031494140625,6347.0,1371.0,1851.0,-30.70068359375,-87.46337890625,179.8095703125,4.6142578125,39.794921875,11.68212890625,3778.0,969.0,1322.0,-0.7633535656227378,1717.0555297851563
5512,18:06:25.145000,-0.213623046875,0.017578125,-0.031494140625,6347.0,1371.0,1851.0,-30.70068359375,-87.46337890625,179.8095703125,4.6142578125,39.794921875,11.68212890625,3737.0,970.0,1243.0,-0.7633535656227378,1717.0555297851563
5513,18:06:25.157000,-1.2529296875,0.016845703125,-0.2264404296875,6347.0,1371.0,1851.0,-30.70068359375,-87.46337890625,179.8095703125,4.6142578125,39.794921875,11.68212890625,3737.0,970.0,1243.0,0.2933388581715721,1717.0555297851563
5514,18:06:25.158000,-1.2529296875,0.016845703125,-0.2264404296875,6347.0,1371.0,1851.0,-29.72412109375,-84.716796875,174.74365234375,6.14013671875,39.07470703125,10.94970703125,3737.0,970.0,1243.0,0.2933388581715721,1668.679559326172
5515,18:06:25.205000,-1.2529296875,0.016845703125,-0.2264404296875,6386.0,1311.0,1891.0,-29.72412109375,-84.716796875,174.74365234375,6.14013671875,39.07470703125,10.94970703125,3737.0,970.0,1243.0,0.2933388581715721,1668.679559326172
5516,18:06:25.219000,-1.2529296875,0.016845703125,-0.2264404296875,6386.0,1311.0,1891.0,-29.72412109375,-84.716796875,174.74365234375,6.14013671875,39.07470703125,10.94970703125,3719.0,974.0,1227.0,0.2933388581715721,1668.679559326172
5517,18:06:25.247000,-1.2506103515625,-0.2000732421875,-0.3460693359375,6386.0,1311.0,1891.0,-29.72412109375,-84.716796875,174.74365234375,6.14013671875,39.07470703125,10.94970703125,3719.0,974.0,1227.0,0.3329430829060793,1668.679559326172
5518,18:06:25.248000,-1.2506103515625,-0.2000732421875,-0.3460693359375,6386.0,1311.0,1891.0,-28.99169921875,-83.0078125,172.05810546875,8.251953125,36.73095703125,8.4716796875,3719.0,974.0,1227.0,0.3329430829060793,1643.0344665527346
