,timestamp,ax,ay,az,ball_pos_x,ball_pos_y,ball_pos_z,gx,gy,gz,mx,my,mz,player_pos_x,player_pos_y,player_pos_z,accel_abs,spin_abs
4998,17:49:49.652000,-0.691162109375,-0.1348876953125,-0.4674072265625,1871.0,436.0,-926.0,-27.28271484375,-18.37158203125,-15.44189453125,-3.84521484375,10.9375,0.8544921875,2096.0,304.0,-1720.0,-0.13479631613127385,-147.45928344726565
4999,17:49:49.653000,-0.691162109375,-0.1348876953125,-0.4674072265625,1871.0,436.0,-926.0,-28.13720703125,-31.55517578125,-25.93994140625,-3.40576171875,10.5224609375,1.9287109375,2096.0,304.0,-1720.0,-0.13479631613127385,-247.70828247070315
5000,17:49:49.672000,-0.691162109375,-0.1348876953125,-0.4674072265625,1871.0,436.0,-926.0,-28.13720703125,-31.55517578125,-25.93994140625,-3.40576171875,10.5224609375,1.9287109375,2085.0,320.0,-1734.0,-0.13479631613127385,-247.70828247070315
5001,17:49:49.698000,-0.63623046875,-0.17919921875,-0.4691162109375,1871.0,436.0,-926.0,-22.3388671875,-36.19384765625,-14.0380859375,-3.40576171875,10.5224609375,1.9287109375,2085.0,320.0,-1734.0,-0.1694621608272615,-134.05389404296875
5002,17:49:49.700000,-0.8135986328125,-0.239013671875,-0.56396484375,1871.0,436.0,-926.0,-22.3388671875,-36.19384765625,-14.0380859375,-3.40576171875,10.5224609375,1.9287109375,2085.0,320.0,-1734.0,0.038394135707537025,-134.05389404296875
5003,17:49:49.706000,-0.8135986328125,-0.239013671875,-0.56396484375,1898.0,439.0,-922.0,-22.3388671875,-36.19384765625,-14.0380859375,-3.40576171875,10.5224609375,1.9287109375,2085.0,320.0,-1734.0,0.038394135707537025,-134.05389404296875
5004,17:49:49.743000,-0.8135986328125,-0.239013671875,-0.56396484375,1898.0,439.0,-922.0,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625,2085.0,320.0,-1734.0,0.038394135707537025,-19.233819580078126
5005,17:49:49.744000,-0.996826171875,-0.068115234375,-0.404052734375,1898.0,439.0,-922.0,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625,2085.0,320.0,-1734.0,0.09775726128142725,-19.233819580078126
5006,17:49:49.781000,-0.996826171875,-0.068115234375,-0.404052734375,1899.0,437.0,-922.0,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625,2085.0,320.0,-1734.0,0.09775726128142725,-19.233819580078126
5007,17:49:49.784000,-0.996826171875,-0.068115234375,-0.404052734375,1899.0,437.0,-922.0,-11.77978515625,-36.865234375,-2.01416015625,-4.01611328125,10.302734375,2.5634765625,2095.0,320.0,-1729.0,0.09775726128142725,-19.233819580078126
5008,17:49:49.833000,-1.2454833984375,-0.2296142578125,-0.410400390625,1899.0,437.0,-922.0,0.9765625,-0.48828125,-3.5400390625,-3.955078125,10.04638671875,2.8076171875,2095.0,320.0,-1729.0,0.3513076593332445,9.325488281250001
5009,17:49:49.859000,-1.2454833984375,-0.2296142578125,-0.410400390625,1899.0,437.0,-922.0,0.9765625,-0.48828125,-3.5400390625,-3.955078125,10.04638671875,2.8076171875,2126.0,424.0,-786.0,0.3513076593332445,9.325488281250001
5010,17:49:49.878000,-1.2454833984375,-0.2296142578125,-0.410400390625,1899.0,437.0,-922.0,12.87841796875,42.78564453125,-6.591796875,-4.35791015625,10.70556640625,2.05078125,2126.0,424.0,-786.0,0.3513076593332445,408.57295532226567
5011,17:49:49.880000,-1.26904296875,-0.135498046875,-0.1201171875,1899.0,437.0,-922.0,43.88427734375,59.38720703125,-1.8310546875,-4.35791015625,10.70556640625,2.05078125,2126.0,424.0,-786.0,0.30189621887798057,567.1062561035156
5012,17:49:49.894000,-1.26904296875,-0.135498046875,-0.1201171875,1926.0,430.0,-953.0,43.88427734375,59.38720703125,-1.8310546875,-4.35791015625,10.70556640625,2.05078125,2126.0,424.0,-786.0,0.30189621887798057,567.1062561035156
5013,17:49:49.923000,-1.086181640625,-0.1990966796875,-0.1005859375,1926.0,430.0,-953.0,43.88427734375,59.38720703125,-1.8310546875,-3.99169921875,10.75439453125,2.1240234375,2126.0,424.0,-786.0,0.12884966299140732,567.1062561035156
5014,17:49:49.924000,-1.086181640625,-0.1990966796875,-0.1005859375,1926.0,430.0,-953.0,41.3818359375,50.47607421875,-20.44677734375,-3.99169921875,10.75439453125,2.1240234375,2126.0,424.0,-786.0,0.12884966299140732,482.0111755371094
5015,17:49:49.967000,-1.086181640625,-0.1990966796875,-0.1005859375,1926.0,430.0,-953.0,41.3818359375,50.47607421875,-20.44677734375,-3.7109375,10.6689453125,1.81884765625,2126.0,424.0,-786.0,0.12884966299140732,482.0111755371094
5016,17:49:49.968000,-0.974609375,-0.2811279296875,-0.03125,1926.0,430.0,-953.0,41.3818359375,50.47607421875,-20.44677734375,-3.7109375,10.6689453125,1.81884765625,2126.0,424.0,-786.0,0.034826541428765845,482.0111755371094
5017,17:49:49.970000,-0.974609375,-0.2811279296875,-0.03125,1926.0,430.0,-953.0,38.818359375,28.25927734375,-12.8173828125,-3.7109375,10.6689453125,1.81884765625,2126.0,424.0,-786.0,0.034826541428765845,370.68815917968755
5018,17:49:49.973000,-0.974609375,-0.2811279296875,-0.03125,1926.0,430.0,-953.0,38.818359375,28.25927734375,-12.8173828125,-3.7109375,10.6689453125,1.81884765625,2123.0,428.0,-1031.0,0.034826541428765845,370.68815917968755
