elapsed_time,adjusted_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z
0.0,0.0,15.014648,1,0,778.0,1730.0,-541.0
0.001,0.0144686437031502,15.014648,0,0,778.0,1730.0,-541.0
0.001,0.030024258850651898,15.014648,0,0,778.0,1730.0,-541.0
0.024,0.0429585867855795,15.014648,0,0,778.0,1730.0,-541.0
0.025,0.0374716885495404,15.014648,0,0,778.0,1730.0,-541.0
0.025,0.0421528875827461,15.014648,0,0,778.0,1730.0,-541.0
0.069,0.044662569221309095,15.014648,0,0,778.0,1730.0,-541.0
0.07,0.0325396952601452,15.014648,0,0,778.0,1730.0,-541.0
0.071,0.0273974542246733,15.014648,0,0,778.0,1730.0,-541.0
0.114,0.018266453156410997,15.014648,0,0,778.0,1730.0,-541.0
0.115,0.015462509802080998,15.014648,0,0,778.0,1730.0,-541.0
0.115,0.0232131169356132,15.014648,0,0,778.0,1730.0,-541.0
0.16,0.0301786885186842,15.014648,0,0,778.0,1730.0,-541.0
0.16,0.0522720955496455,15.014648,0,0,778.0,1730.0,-541.0
0.16,0.051531780219549295,15.014648,0,0,778.0,1730.0,-541.0
0.205,0.0478851256426755,15.014648,0,0,778.0,1730.0,-541.0
0.205,0.037676724798062,15.014648,0,0,778.0,1730.0,-541.0
0.205,0.0338613533859295,15.014648,0,0,778.0,1730.0,-541.0
0.25,0.0391807082410251,15.014648,0,0,778.0,1730.0,-541.0
0.25,-0.0030077220431631024,15.014648,0,0,778.0,1730.0,-541.0
0.25,-0.0025435535838237017,15.014648,0,0,778.0,1730.0,-541.0
0.295,-0.00042661325074920195,15.014648,0,0,778.0,1730.0,-541.0
0.296,0.0218306238537287,15.014648,0,0,778.0,1730.0,-541.0
0.296,0.025808006013846498,15.014648,0,0,778.0,1730.0,-541.0
0.34,0.0271928210898147,15.014648,0,0,778.0,1730.0,-541.0
0.34,-0.010889541118906502,15.014648,0,0,778.0,1730.0,-541.0
0.341,-0.0117689674563605,15.014648,0,0,778.0,1730.0,-541.0
0.385,-0.004967532450173701,15.014648,0,0,778.0,1730.0,-541.0
0.386,0.0176815110691585,15.014648,0,0,778.0,1730.0,-541.0
0.386,0.0016261140991644003,15.014648,0,0,778.0,1730.0,-541.0
0.43,-0.0032999923752737997,15.014648,0,0,778.0,1730.0,-541.0
0.431,0.016983511315191498,15.014648,0,0,778.0,1730.0,-541.0
0.431,0.0392267477599192,15.014648,0,0,778.0,1730.0,-541.0
0.475,0.0506831628813954,15.014648,0,0,778.0,1730.0,-541.0
0.475,0.0404118330825811,15.014648,0,0,778.0,1730.0,-541.0
0.475,0.0391957850875988,15.014648,0,0,778.0,1730.0,-541.0
0.52,0.029437606372683597,15.014648,0,0,778.0,1730.0,-541.0
0.52,0.030736990705609597,15.014648,0,0,778.0,1730.0,-541.0
0.52,0.0282947020176052,15.014648,0,0,778.0,1730.0,-541.0
0.565,0.0269811621280932,15.014648,0,0,778.0,1730.0,-541.0
0.565,0.008310671907125498,15.014648,0,0,778.0,1730.0,-541.0
0.566,0.0037983314821061,15.014648,0,0,778.0,1730.0,-541.0
0.61,0.0006275938613556006,15.014648,0,0,778.0,1730.0,-541.0
0.61,0.025093673199703098,15.014648,0,0,778.0,1730.0,-541.0
0.612,0.0276435296446283,15.014648,0,0,778.0,1730.0,-541.0
0.655,0.0316254587228364,15.014648,0,0,778.0,1730.0,-541.0
0.656,0.026987082642004098,15.014648,0,0,778.0,1730.0,-541.0
0.656,0.017803966182686398,15.014648,0,0,778.0,1730.0,-541.0
0.699,0.008383998366594498,15.014648,0,0,778.0,1730.0,-541.0
0.7,0.012024152578802,15.014648,0,0,778.0,1730.0,-541.0
0.7,0.0216705846471782,15.014648,0,0,778.0,1730.0,-541.0
0.744,0.0327388887295202,15.014648,0,0,778.0,1730.0,-541.0
0.745,-0.013006488109318103,15.014648,0,0,778.0,1730.0,-541.0
0.746,-0.0178568372242331,15.014648,0,0,778.0,1730.0,-541.0
0.834,-0.008652357794745002,15.014648,0,0,778.0,1730.0,-541.0
0.835,0.0160697211321999,15.014648,0,0,778.0,1730.0,-541.0
0.835,0.0183058013171711,15.014648,0,0,778.0,1730.0,-541.0
0.843,0.0565508574999408,15.014648,0,0,778.0,1730.0,-541.0
0.879,0.0560584955016478,15.014648,0,0,778.0,1730.0,-541.0
0.88,0.0344072936137384,15.014648,0,1,778.0,1730.0,-541.0
0.925,0.0300621534877762,15.014648,0,1,778.0,1730.0,-541.0
0.926,0.0300621534877762,15.014648,0,0,778.0,1730.0,-541.0
0.969,0.012006300973125099,15.014648,0,0,778.0,1730.0,-541.0
0.97,-0.0002539448994205995,15.014648,0,1,778.0,1730.0,-541.0
1.015,0.006855623018541798,15.014648,0,1,778.0,1730.0,-541.0
1.015,0.006855623018541798,15.014648,0,1,778.0,1730.0,-541.0
1.059,0.006247760835520397,15.014648,0,1,778.0,1730.0,-541.0
1.06,0.0287886227588167,15.014648,0,0,778.0,1730.0,-541.0
1.105,0.0355391240587463,0.6713870000000011,1,0,778.0,1730.0,-541.0
1.105,-0.004671156792306702,0.6713870000000011,0,1,778.0,1730.0,-541.0
1.15,0.0076918285773756,1.2207030000000003,1,1,778.0,1730.0,-541.0
1.151,0.0076918285773756,1.2207030000000003,0,1,778.0,1730.0,-541.0
1.195,0.0049421962993129,1.2207030000000003,0,0,778.0,1730.0,-541.0
1.195,0.0384065335007128,1.2207030000000003,0,1,778.0,1730.0,-541.0
1.239,0.0384065335007128,1.2207030000000003,0,1,778.0,1730.0,-541.0
1.24,-0.031827706617066895,1.2207030000000003,0,1,778.0,1730.0,-541.0
1.286,-0.029906479568986104,1.2207030000000003,0,1,778.0,1730.0,-541.0
1.286,0.0245967245055492,1.2207030000000003,0,0,778.0,1730.0,-541.0
1.33,0.0379511190154506,1.2207030000000003,0,0,778.0,1730.0,-541.0
